Phrase	Combined Score	Phrase Quality Score	Wiki Linking Score	NP Count Score	
oblivious_tree	1.30613807945	0.8529983413	0	1	
single_qubit	1.5995214751	0.8528229831	2	0	
honest_majority	2.2617739578	0.8526035727	2	1	
mobile_ad_hoc_networks	1.84633867132	0.8522416223	3	0	
sensitive_information	2.61106107443	0.8522049918	3	1	
wave_function	2.61096070503	0.8521394754	3	1	
quantum_states	2.6109254079	0.8521164357	3	1	
asymptotically_optimal	1.84599241082	0.8519219952	3	0	
elgamal_encryption	2.61048978148	0.8518321124	3	1	
quantum_circuits	2.26016320145	0.8513896162	2	1	
lightweight_cryptography	2.25910749465	0.8505944454	2	1	
electronic_commerce	2.6083822361	0.8504572362	3	1	
timing_attacks	2.60804566754	0.8502377755	3	1	
service_provider	2.60790363932	0.850145174	3	1	
functional_encryption	2.60778843927	0.850070068	3	1	
qubit_neural_network	1.30385691385	0.8500214259	0	1	
reversible_circuits	1.30376023317	0.8498953728	0	1	
prime_order	2.25817345981	0.8498912291	2	1	
probability_theory	2.6074890547	0.8498748963	3	1	
encryption_keys	2.25789686731	0.8496830439	2	1	
ldpc_codes	2.60705832002	0.8495941355	3	1	
reed_solomon	1.59588071537	0.8489450859	2	0	
data_security	2.60480536194	0.8481263717	3	1	
mobile_communication	2.60456210554	0.8479679702	3	1	
triple_des	2.60427902453	0.8477836547	3	1	
security_properties	2.25531393704	0.8477401591	2	1	
hardware_software_co_design	2.25529059977	0.8477226149	2	1	
asymmetric_cryptography	2.60393385	0.8475589369	3	1	
probability_distribution	2.60348841242	0.8472689892	3	1	
authenticated_key_exchange	2.25450545389	0.8471324736	2	1	
optical_communication	2.60308939516	0.8470092999	3	1	
goppa_codes	2.25415490453	0.8468690556	2	1	
twisted_edwards_curves	2.25341070651	0.8463099687	2	1	
quantum_algorithms	2.60193094958	0.8462555833	3	1	
blind_signature	2.60170814166	0.8461106568	3	1	
polynomial_multiplication	2.60166359624	0.8460816835	3	1	
multi_party	2.25228441472	0.8454641808	2	1	
simulatability_soundness	2.25199168968	0.8452444284	2	1	
key_generation_center	2.25178248141	0.8450873906	2	1	
ecc_based	0.919279490634	0.8450747819	0	0	
visual_secret_sharing	1.59214764108	0.844978037	2	0	
lower_bounds_1st_edition	1.29980646652	0.8447484252	0	1	
confidential_data	2.25132736567	0.8447458179	2	1	
modular_division	2.59947767615	0.8446605236	3	1	
pseudo_random_bit	2.25096577846	0.8444744893	2	1	
gray_level	2.59905736374	0.8443873975	3	1	
memory_checkers	2.25069705323	0.8442728709	2	1	
koblitz_curves	1.29943204986	0.8442618261	0	1	
high_security	2.59861570579	0.8441004483	3	1	
power_analysis	2.59853127162	0.8440455962	3	1	
extended_abstract	1.83742937965	0.8440366813	3	0	
long_distance	2.25014546623	0.8438591032	2	1	
information_assurance	2.59765077052	0.8434736907	3	1	
wave_plate	2.59763020124	0.8434603328	3	1	
supersingular_curves	2.24959452893	0.8434459241	2	1	
long_distances	1.83648599211	0.8431701998	1	1	
decryption_process	1.29820465413	0.842667662	0	1	
boolean_function	2.59531722932	0.8419589401	3	1	
computational_power	2.59522915258	0.8419017943	3	1	
perfectly_secure	0.917512260572	0.8418287483	0	0	
singular_value_decomposition	2.5942291686	0.8412531224	3	1	
signcryption_scheme	2.24646315069	0.8410994479	2	1	
dna_cryptography	2.2454570875	0.8403462553	2	1	
secret_keys	2.24529229073	0.8402229118	2	1	
cryptographic_techniques	2.2452061781	0.8401584637	2	1	
linear_complexity	2.24510698404	0.8400842283	2	1	
elliptic_curve_point_multiplication	2.59222846725	0.8399560533	3	1	
encryption_algorithms	2.59216375748	0.8399141182	3	1	
cryp_tosystems	1.29563667955	0.8393372027	0	1	
multiply_accumulate	1.83190192008	0.8389661612	3	0	
key_management_scheme	2.243060892	0.8385536942	2	1	
public_channel	2.24284577588	0.8383928624	2	1	
quantum_information_processing	2.58969015042	0.8383118844	3	1	
large_scale	2.24252517671	0.8381531947	2	1	
reconfigurable_hardware	2.24247323904	0.8381143713	2	1	
discrete_log_based	1.29459234232	0.8379846664	0	1	
collision_resistant_hash	2.24202719029	0.837780987	2	1	
prime_numbers	2.58831366739	0.8374209551	3	1	
mobile_voting	0.915085086317	0.8373807152	0	0	
multiple_photons	2.24148031024	0.8373723302	2	1	
classical_cryptography	2.5878010599	0.8370892907	3	1	
uniformly_random	1.29389996924	0.8370885652	1	0	
multiplier_architecture	1.29348283514	0.8365489224	0	1	
cr_capacity	1.82918960209	0.8364836501	1	1	
secure_data_transmission	2.24003604502	0.8362935805	2	1	
field_multiplication	2.23996736088	0.8362422963	2	1	
editor_in_chief	1.82886411414	0.836185987	3	0	
size_invariant	2.23976237016	0.8360892458	2	1	
access_structures	1.82844584399	0.8358035511	1	1	
